"ch";"P1070";"P6020";"P6040";"P6081";"P6083";"P6080";"P9010";"P9030";"CANT_PERSONAS_HOGAR";"P5095"
0;1;1;58;3;3;6;1;1;1;3
4;1;1;57;3;3;6;2;1;5;3
0;1;2;50;3;3;5;1;2;1;1
2;1;1;61;3;3;6;1;2;3;1
0;2;1;53;3;3;6;1;2;1;1
2;1;1;54;3;3;6;1;2;3;1
6;1;2;62;3;3;6;1;2;7;1
1;2;1;61;3;3;6;1;3;2;1
1;1;2;85;3;3;6;1;2;2;1
4;2;1;41;3;3;6;1;2;5;3
1;1;1;70;3;3;6;1;1;2;1
1;1;2;81;3;3;6;1;2;2;1
3;1;2;60;3;3;6;1;2;4;3
5;1;1;75;3;3;6;1;2;6;4
5;1;2;76;3;3;6;1;2;6;1
3;1;1;43;3;3;6;1;2;4;1
1;2;1;56;3;3;6;1;2;2;3
2;1;1;53;3;3;6;1;1;3;1
1;1;2;51;3;3;6;1;2;2;4
0;1;2;84;3;3;6;1;3;1;4
1;2;1;73;3;3;6;1;2;2;1
2;2;2;35;3;3;6;1;2;3;1
3;2;2;59;3;3;5;1;3;4;1
2;1;2;62;3;3;6;1;4;3;3
2;1;1;54;3;3;6;1;1;3;1
2;1;2;73;3;3;6;1;1;3;1
1;1;1;52;3;3;6;2;3;2;3
5;2;2;64;3;3;5;1;2;6;1
2;2;1;54;3;3;6;1;2;3;1
2;1;2;43;3;3;6;1;3;3;1
0;1;1;81;3;3;6;2;3;1;3
0;1;2;68;3;3;6;2;2;1;1
4;2;1;55;3;3;6;1;1;5;1
2;2;1;74;3;3;6;1;2;3;3
5;1;2;65;3;3;6;1;1;6;1
3;1;1;54;3;3;6;1;3;4;3
0;2;2;58;3;3;5;1;2;1;4
2;1;1;68;3;3;6;1;3;3;1
5;1;2;56;3;3;6;1;2;6;5
0;2;1;63;3;3;6;1;1;1;3
1;1;2;57;3;3;6;1;1;2;1
0;1;1;48;3;3;6;1;2;1;1
3;1;2;64;3;3;6;1;2;4;1
1;1;1;50;3;3;6;1;2;2;1
3;1;2;63;3;3;5;1;2;4;1
4;1;1;50;3;3;6;1;3;5;3
1;1;1;56;3;3;6;2;3;2;3
2;1;1;81;3;3;6;1;3;3;1
3;1;1;72;3;3;6;1;3;4;1
0;1;2;55;3;3;6;1;3;1;3
1;1;2;71;3;3;6;1;3;2;1
2;1;1;60;3;3;6;2;1;3;1
4;2;2;68;3;3;1;1;2;5;1
3;1;1;50;3;3;6;2;1;4;1
2;2;1;61;3;3;6;1;2;3;1
4;2;1;33;3;3;6;1;2;5;3
3;1;2;47;3;3;6;1;2;4;3
1;1;1;66;3;3;6;1;2;2;1
2;3;1;45;3;3;5;1;2;3;4
1;1;1;71;3;3;6;2;2;2;1
1;2;1;55;3;3;6;1;2;2;3
0;1;1;71;3;3;6;2;1;1;1
0;3;2;58;3;3;5;1;2;1;3
2;1;1;74;3;3;6;1;2;3;1
2;1;1;40;3;3;6;2;1;3;3
2;1;1;73;3;3;6;2;1;3;1
1;1;1;58;3;3;5;2;2;2;3
4;1;2;57;3;3;6;1;2;5;4
4;2;1;54;3;3;6;1;3;5;3
1;1;1;87;3;3;6;1;3;2;1
3;2;1;62;3;3;5;1;1;4;3
0;1;1;91;3;3;6;1;2;1;4
1;1;1;71;3;3;6;1;1;2;1
2;1;2;55;3;3;6;2;3;3;1
0;1;2;56;3;3;6;2;2;1;1
1;1;1;52;3;3;6;1;2;2;1
5;1;1;51;3;3;1;1;3;6;1
5;2;2;51;3;3;6;1;2;6;1
3;2;1;50;3;3;6;1;2;4;3
2;2;1;39;3;3;6;1;2;3;1
2;1;2;40;3;3;1;1;3;3;4
4;1;1;59;3;3;6;1;2;5;1
2;2;1;47;3;3;6;2;3;3;1
2;1;2;75;3;3;6;1;2;3;1
3;1;1;59;3;3;6;1;2;4;1
3;1;1;65;3;3;6;1;3;4;3
3;1;1;72;3;3;6;2;3;4;1
1;1;1;86;3;3;6;1;2;2;1
3;2;2;62;3;3;6;1;2;4;1
1;1;1;71;3;3;6;1;2;2;1
1;2;2;62;3;3;6;2;3;2;4
2;2;1;67;3;3;6;2;3;3;1
0;2;2;57;3;3;6;1;2;1;1
4;1;1;74;3;3;6;1;1;5;1
2;1;1;61;3;3;6;1;3;3;5
0;1;1;65;3;3;6;1;3;1;1
0;1;1;59;3;3;6;2;3;1;6
1;1;1;62;3;3;6;1;2;2;1
0;1;1;65;3;3;6;1;1;1;1
0;1;1;78;3;3;6;1;3;1;1
7;2;2;51;3;3;1;1;2;8;1
3;1;2;57;3;3;1;1;4;4;3
2;1;1;67;3;3;1;1;4;3;1
1;1;1;59;3;3;1;1;2;2;1
1;1;1;48;3;3;6;1;1;2;1
1;2;2;76;3;3;6;1;2;2;3
0;2;2;80;3;3;6;1;1;1;3
3;2;1;54;3;3;6;1;1;4;3
1;1;1;49;3;3;6;1;3;2;1
0;1;1;73;3;3;6;1;3;1;3
1;1;1;71;3;3;6;1;2;2;6
0;1;1;69;3;3;6;1;3;1;4
1;1;1;83;3;3;6;1;2;2;1
1;1;1;84;3;3;6;1;2;2;1
1;1;1;75;3;3;6;1;2;2;1
1;1;1;45;3;3;6;1;1;2;3
1;1;1;72;3;3;6;1;3;2;1
2;1;2;36;3;3;6;1;3;3;1
0;2;2;44;3;3;6;1;2;1;3
0;2;1;52;3;3;6;1;3;1;3
1;1;2;61;3;3;6;2;3;2;1
0;1;2;56;3;3;6;1;4;1;4
2;1;1;56;3;3;6;1;2;3;1
1;1;2;56;3;3;6;1;1;2;1
0;1;1;59;3;3;6;1;3;1;4
1;1;1;97;3;3;6;1;3;2;1
2;1;1;57;3;3;6;1;2;3;1
1;1;1;73;3;3;6;1;2;2;1
2;1;2;74;3;3;6;1;1;3;1
1;2;2;77;3;3;6;2;2;2;6
3;1;1;67;3;3;6;1;2;4;1
1;1;1;64;3;3;6;1;1;2;1
0;1;2;66;3;3;6;1;2;1;3
6;1;2;73;3;3;6;1;3;7;1
3;1;1;67;3;3;6;1;2;4;3
0;1;1;76;3;3;6;1;2;1;1
2;1;2;59;3;3;6;2;1;3;1
3;1;1;68;3;3;6;1;3;4;1
0;2;1;93;3;3;6;1;1;1;3
1;1;1;71;3;3;6;1;3;2;1
1;1;1;71;3;3;6;1;1;2;1
0;2;2;67;3;3;6;1;2;1;4
0;1;1;73;3;3;6;1;2;1;4
2;2;1;59;3;3;6;1;2;3;3
3;1;2;59;3;3;6;2;2;4;1
2;1;2;76;3;3;6;2;3;3;1
2;1;2;79;3;3;6;2;2;3;1
4;1;1;68;3;3;6;2;2;5;1
0;2;2;60;3;3;6;1;2;1;1
1;1;1;89;3;3;6;1;2;2;1
0;2;1;82;3;3;6;1;3;1;1
0;2;2;75;3;3;6;1;2;1;1
0;1;1;59;3;3;1;1;2;1;4
0;1;2;68;3;3;1;1;2;1;1
7;1;2;73;3;3;6;1;3;8;1
1;1;2;70;3;3;6;1;3;2;1
1;2;2;71;3;3;6;1;2;2;3
4;2;2;70;3;3;6;1;3;5;1
3;1;1;89;3;3;6;1;3;4;1
0;2;1;56;3;3;6;1;2;1;3
1;1;2;81;3;3;6;1;1;2;1
2;2;2;36;3;3;6;1;2;3;3
1;1;1;68;3;3;6;1;2;2;5
3;2;2;61;3;3;6;1;2;4;3
3;1;2;71;3;3;6;1;2;4;6
1;1;2;68;3;3;6;1;2;2;1
1;2;1;58;3;3;6;1;2;2;3
1;2;2;69;3;3;6;1;2;2;1
6;2;1;55;3;3;6;1;2;7;3
0;2;2;47;3;3;6;1;3;1;3
0;2;1;70;3;3;6;1;2;1;3
1;2;1;45;3;3;6;1;1;2;1
4;1;1;72;3;3;6;1;2;5;1
4;1;2;79;3;3;6;1;2;5;1
7;1;2;34;3;3;5;2;3;8;4
1;2;1;62;3;3;6;1;3;2;4
1;2;1;51;3;3;6;1;2;2;4
4;1;1;69;3;3;6;1;2;5;1
2;1;1;56;3;3;6;2;3;3;4
3;2;1;58;3;3;6;1;3;4;4
2;1;1;70;3;3;6;1;2;3;3
0;2;2;73;3;3;5;1;2;1;3
3;2;1;53;3;3;6;1;2;4;2
1;2;1;64;3;3;6;1;2;2;3
1;1;2;68;3;3;6;1;2;2;1
7;1;2;57;3;3;6;2;3;8;1
0;1;2;87;3;3;6;2;3;1;1
7;1;2;83;3;3;1;1;1;8;1
5;1;1;66;3;3;5;1;2;6;1
1;1;1;70;3;3;6;1;2;2;1
2;2;2;66;3;3;5;2;3;3;4
6;1;2;50;3;3;6;1;3;7;4
5;1;1;62;3;3;6;1;3;6;1
1;1;1;76;3;3;6;1;2;2;1
1;1;1;79;3;3;6;1;2;2;1
4;1;1;81;3;3;6;1;3;5;1
2;1;2;51;3;3;6;1;1;3;1
1;1;2;55;3;3;6;1;2;2;1
2;1;1;53;3;3;6;1;2;3;1
1;1;2;87;3;3;6;1;2;2;1
5;1;1;57;3;3;6;1;2;6;1
0;1;1;75;3;3;6;1;3;1;1
3;1;2;57;3;3;5;2;4;4;1
5;1;2;58;3;3;5;1;3;6;1
7;1;2;50;3;3;5;1;2;8;4
0;1;1;47;3;3;5;2;3;1;3
2;2;2;69;3;3;6;2;3;3;1
8;1;1;77;3;3;6;2;4;9;1
7;1;2;69;3;3;6;2;3;8;1
9;1;1;51;3;3;6;2;3;10;1
7;1;1;80;3;3;6;2;4;8;1
1;1;2;52;3;3;6;1;3;2;1
3;1;1;81;3;3;6;2;3;4;1
2;1;1;57;3;3;6;1;2;3;1
3;2;2;66;3;3;6;1;3;4;6
3;2;2;65;3;3;6;2;3;4;1
2;2;2;53;3;3;6;1;2;3;3
2;1;2;82;3;3;5;1;2;3;1
1;1;1;58;3;3;6;1;2;2;1
2;1;2;74;3;3;5;2;3;3;4
0;2;2;100;3;3;5;1;4;1;1
1;2;1;57;3;3;6;2;3;2;1
4;2;1;58;3;3;5;1;2;5;4
2;1;2;63;3;3;5;1;3;3;1
1;1;1;79;3;3;5;2;3;2;1
2;2;2;72;3;3;1;1;2;3;5
2;1;1;72;3;3;6;1;2;3;1
1;1;2;84;3;3;6;1;3;2;1
2;1;1;58;3;3;6;2;3;3;1
2;1;2;41;3;3;6;2;3;3;1
5;1;2;44;3;3;6;2;2;6;1
3;1;2;64;3;3;6;1;2;4;1
7;1;1;78;3;3;6;1;2;8;1
1;1;1;58;3;3;6;1;3;2;1
1;1;1;67;3;3;5;1;2;2;1
0;1;1;67;3;3;5;1;2;1;1
2;1;1;60;3;3;5;1;2;3;1
0;1;2;88;3;3;6;1;3;1;1
0;1;2;88;3;3;6;1;3;1;1
1;1;1;50;3;3;5;1;3;2;4
1;1;1;73;3;3;5;1;2;2;1
2;2;2;64;3;3;6;2;3;3;1
1;1;1;56;3;3;6;1;3;2;1
3;1;1;72;3;3;6;1;3;4;3
0;1;2;49;3;3;6;1;4;1;1
1;2;2;78;3;3;6;1;2;2;1
4;2;1;47;3;3;6;1;2;5;3
0;1;1;53;3;3;6;1;3;1;1
1;2;1;63;3;3;6;1;2;2;1
0;2;1;60;3;3;6;1;3;1;4
0;1;2;75;3;3;6;2;3;1;1
3;1;1;46;3;3;6;1;3;4;2
2;2;1;70;3;3;6;1;1;3;1
2;1;1;55;3;3;6;1;2;3;3
1;1;1;70;3;3;6;1;3;2;1
2;1;2;65;3;3;6;1;3;3;1
0;1;1;65;3;3;6;1;2;1;1
1;2;2;54;3;3;6;1;2;2;2
2;1;2;67;3;3;6;1;2;3;1
1;1;1;86;3;3;6;1;2;2;4
0;3;2;84;3;3;6;1;2;1;3
2;1;1;48;3;3;6;1;2;3;1
2;1;1;48;3;3;6;1;2;3;1
0;2;1;57;3;3;6;1;2;1;3
1;1;1;70;3;3;6;1;2;2;3
1;2;2;64;3;3;6;1;1;2;1
3;2;2;28;3;3;6;2;3;4;3
1;1;2;50;3;3;6;1;1;2;1
0;1;2;65;3;3;5;1;3;1;2
0;1;2;52;3;3;6;1;3;1;1
2;2;2;35;3;3;5;2;3;3;3
4;2;2;47;3;3;5;2;2;5;2
0;1;2;68;3;3;6;1;2;1;2
3;1;2;73;3;3;6;1;2;4;2
3;2;2;51;3;3;6;1;3;4;2
2;2;1;68;3;3;6;1;2;3;2
4;1;2;49;3;3;6;1;2;5;3
1;1;2;60;3;3;6;1;3;2;1
1;1;2;63;3;3;6;1;3;2;1
1;1;1;58;3;3;6;2;2;2;4
2;1;2;68;3;3;6;1;2;3;1
1;1;1;73;3;3;6;1;2;2;1
4;1;2;51;3;3;6;1;4;5;1
4;1;1;48;3;3;6;1;2;5;3
1;1;2;61;3;3;6;1;2;2;6
1;1;1;75;3;3;6;1;3;2;3
1;1;1;51;3;3;6;2;2;2;1
1;1;1;59;3;3;6;1;1;2;1
0;1;2;71;3;3;6;1;4;1;6
2;1;2;88;3;3;6;1;2;3;1
0;1;2;60;3;3;6;1;1;1;1
1;2;2;78;3;3;6;1;3;2;4
7;1;2;50;3;3;6;1;2;8;3
1;1;2;67;3;3;6;1;2;2;1
4;1;2;61;3;3;6;2;2;5;1
1;1;2;52;3;3;5;1;2;2;1
1;2;2;69;3;3;5;1;2;2;1
3;1;1;37;3;3;5;1;3;4;3
0;1;2;53;3;3;5;1;3;1;1
1;2;2;68;3;3;6;1;1;2;4
3;1;1;73;3;3;6;1;2;4;1
0;2;1;65;3;3;6;1;3;1;4
0;2;2;81;3;3;6;1;2;1;4
0;2;1;57;3;3;6;1;3;1;3
4;1;1;35;3;3;6;1;2;5;4
0;1;1;89;3;3;6;1;2;1;4
2;1;1;67;3;3;6;1;2;3;3
2;1;2;54;3;3;6;1;2;3;4
1;1;1;66;3;3;6;1;2;2;4
1;1;2;50;3;3;6;1;2;2;1
1;1;2;58;3;3;6;1;2;2;4
1;2;2;64;3;3;6;2;2;2;3
6;2;2;88;3;3;6;1;2;7;1
2;1;1;92;3;3;6;1;1;3;1
1;1;2;64;3;3;6;1;2;2;1
0;1;2;88;3;3;6;1;2;1;1
1;1;1;78;3;3;6;1;2;2;3
3;2;2;68;3;3;6;2;2;4;1
2;2;1;34;3;3;6;1;2;3;3
0;1;1;57;3;3;6;1;2;1;1
6;1;1;79;3;3;5;1;2;7;1
0;1;2;93;3;3;5;1;2;1;4
2;1;1;61;3;3;5;1;2;3;1
4;1;1;57;3;3;6;1;2;5;1
2;1;2;51;3;3;6;1;2;3;1
1;1;2;67;3;3;5;2;2;2;1
0;1;2;61;3;3;5;2;2;1;1
0;1;1;68;3;3;5;2;2;1;1
2;1;1;60;3;3;6;1;2;3;3
4;1;1;52;3;3;6;2;2;5;3
2;2;2;76;3;3;6;1;2;3;4
4;1;1;39;3;3;6;1;2;5;4
3;2;1;83;3;3;6;1;2;4;1
0;1;1;60;3;3;6;1;4;1;5
2;1;1;38;3;3;1;1;2;3;1
0;2;2;59;3;3;6;2;2;1;2
0;2;1;52;3;3;6;2;2;1;3
1;2;2;69;3;3;6;1;3;2;1
3;1;2;52;3;3;6;1;2;4;4
2;1;1;55;3;3;6;1;3;3;1
2;1;1;53;3;3;6;1;2;3;4
3;1;2;32;3;3;6;2;3;4;5
2;1;1;68;3;3;6;1;2;3;1
1;1;2;77;3;3;6;1;3;2;1
0;1;2;64;3;3;6;1;4;1;4
0;1;1;65;3;3;6;1;4;1;4
3;1;1;75;3;3;5;1;1;4;1
0;1;2;50;3;3;6;1;2;1;3
4;1;1;61;3;3;5;1;2;5;1
2;1;2;55;3;3;6;1;3;3;1
0;1;1;81;3;3;6;1;2;1;4
4;1;1;48;3;3;6;1;2;5;1
2;1;2;53;3;3;5;2;1;3;3
1;2;1;56;3;3;6;1;2;2;1
2;2;2;65;3;3;6;1;2;3;1
5;2;1;52;3;3;5;1;2;6;1
6;1;2;69;3;3;5;1;2;7;4
0;1;2;68;3;3;5;1;2;1;4
2;1;1;61;3;3;6;2;3;3;1
2;2;1;69;3;3;6;1;2;3;1
2;1;2;79;3;3;6;1;2;3;1
0;2;1;67;3;3;6;1;1;1;3
0;2;2;60;3;3;6;1;1;1;3
2;1;1;64;3;3;6;1;1;3;1
0;2;1;70;3;3;6;1;1;1;3
1;2;1;58;3;3;6;1;2;2;3
2;1;1;84;3;3;6;1;2;3;1
0;2;1;63;3;3;6;1;2;1;1
1;2;1;85;3;3;6;1;2;2;3
0;1;2;69;3;3;6;2;2;1;4
0;1;1;61;3;3;6;1;1;1;3
1;1;1;66;3;3;6;1;2;2;1
2;1;1;47;3;3;6;1;2;3;1
0;1;1;78;3;3;6;1;2;1;3
5;2;1;48;3;3;6;1;2;6;3
0;1;2;66;3;3;6;1;1;1;3
2;2;2;79;3;3;6;1;1;3;1
3;2;2;45;3;3;6;1;2;4;3
4;2;2;62;3;3;6;1;2;5;3
0;2;2;61;3;3;6;1;1;1;3
0;2;2;70;3;3;6;1;2;1;3
2;1;2;69;3;3;5;1;2;3;3
0;1;2;76;3;3;5;1;3;1;4
4;1;2;73;3;3;6;2;2;5;1
3;1;1;55;3;3;6;1;2;4;4
5;1;1;66;3;3;6;1;2;6;1
0;2;2;65;3;3;6;1;3;1;1
0;2;2;77;3;3;6;1;3;1;4
3;1;1;75;3;3;6;1;4;4;1
6;1;2;45;3;3;5;1;2;7;1
1;1;1;75;3;3;5;2;3;2;1
3;1;2;33;3;3;5;1;2;4;1
5;1;1;66;3;3;5;1;1;6;1
3;1;1;56;3;3;6;1;2;4;1
3;1;2;88;3;3;6;2;1;4;1
5;1;1;73;3;3;6;2;1;6;1
7;1;1;85;3;3;6;2;2;8;1
2;1;1;79;3;3;6;1;3;3;1
2;2;1;62;3;3;6;2;2;3;3
3;1;2;86;3;3;6;1;3;4;1
5;1;1;88;3;3;6;2;3;6;1
5;1;1;73;3;3;6;1;2;6;1
3;2;1;60;3;3;6;2;2;4;1
3;1;1;79;3;3;6;2;2;4;1
10;1;1;75;3;3;6;2;3;11;1
3;1;1;69;3;3;6;2;3;4;1
2;1;1;72;3;3;6;2;2;3;1
2;2;1;69;3;3;6;1;2;3;3
2;1;2;76;3;3;6;1;2;3;1
2;1;1;68;3;3;6;1;2;3;1
5;2;1;46;3;3;6;1;2;6;1
1;2;2;58;3;3;6;2;2;2;3
1;1;1;77;3;3;6;1;2;2;1
4;1;2;90;3;3;6;1;2;5;1
5;1;2;40;3;3;6;1;3;6;1
3;1;1;73;3;3;6;1;3;4;1
0;2;1;65;3;3;5;1;2;1;6
5;2;2;66;3;3;6;1;2;6;1
3;2;2;67;3;3;6;1;2;4;6
6;1;2;48;3;3;6;2;2;7;3
4;1;2;70;3;3;5;2;2;5;1
1;2;1;80;3;3;5;1;3;2;5
5;1;2;67;3;3;5;1;3;6;1
2;1;2;78;3;3;5;1;2;3;3
4;1;1;68;3;3;5;1;3;5;1
0;1;1;51;3;3;5;1;3;1;3
1;2;1;63;3;3;5;1;3;2;1
7;1;2;72;3;3;5;1;2;8;1
4;1;1;56;3;3;5;2;3;5;1
5;1;2;59;3;3;5;1;3;6;5
4;1;2;84;3;3;5;1;2;5;1
0;1;2;62;3;3;6;2;3;1;1
0;1;2;70;3;3;5;1;2;1;4
3;1;2;72;3;3;5;1;2;4;4
4;1;2;77;3;3;5;1;3;5;1
4;1;1;61;3;3;6;2;1;5;4
4;2;2;81;3;3;6;1;2;5;1
4;1;1;62;3;3;5;1;2;5;1
1;1;2;60;3;3;6;2;3;2;1
2;1;2;64;3;3;6;1;3;3;1
0;1;1;42;3;3;6;1;2;1;1
1;2;1;88;3;3;1;1;2;2;4
0;3;1;77;3;3;6;1;2;1;3
1;1;2;63;3;3;6;2;3;2;5
1;2;2;54;3;3;6;1;4;2;3
3;1;2;36;3;3;6;2;3;4;5
6;1;1;54;3;3;6;2;3;7;1
2;1;2;49;3;3;6;1;2;3;1
6;1;1;58;3;3;6;1;3;7;6
2;1;1;58;3;3;5;1;3;3;1
1;1;1;71;3;3;6;1;2;2;1
4;1;2;75;3;3;6;1;2;5;4
1;2;2;80;3;3;6;1;2;2;6
1;2;2;47;3;3;6;1;2;2;3
1;2;2;66;3;3;6;1;3;2;1
2;1;2;55;3;3;6;1;2;3;4
5;1;1;63;3;3;6;1;2;6;1
1;1;2;77;3;3;6;1;2;2;5
1;1;1;72;3;3;6;1;2;2;4
0;1;1;77;3;3;6;1;4;1;1
1;3;2;40;3;3;6;1;3;2;5
2;3;2;25;3;3;5;1;2;3;1
2;1;2;44;3;3;1;1;2;3;1
3;3;2;39;3;3;1;1;3;4;1
1;1;2;43;3;3;6;1;3;2;5
3;2;2;76;3;3;6;1;1;4;1
2;2;2;60;3;3;6;1;2;3;3
3;1;1;68;3;3;6;1;2;4;2
3;1;1;65;3;3;6;1;3;4;1
0;1;1;69;3;3;6;2;2;1;2
3;1;1;36;3;3;6;1;1;4;1
3;2;1;57;3;3;6;1;2;4;1
4;2;2;44;3;3;6;1;2;5;3
0;2;1;53;3;3;6;1;2;1;3
2;2;1;62;3;3;6;2;2;3;1
0;2;2;78;3;3;6;1;2;1;1
3;1;1;64;3;3;6;2;2;4;1
1;2;1;70;3;3;6;1;1;2;1
2;2;2;67;3;3;6;1;3;3;1
1;2;2;75;3;3;6;1;1;2;1
1;2;2;60;3;3;6;1;1;2;1
2;2;1;62;3;3;6;1;1;3;1
2;2;2;59;3;3;6;2;2;3;5
0;2;2;68;3;3;6;1;1;1;3
1;2;2;90;3;3;6;1;1;2;1
2;1;1;60;3;3;6;2;2;3;3
2;1;1;81;3;3;6;1;2;3;1
5;1;1;73;3;3;6;2;2;6;1
2;1;2;89;3;3;6;1;1;3;1
1;1;1;63;3;3;6;1;3;2;4
2;2;1;63;3;3;6;2;1;3;6
2;2;2;65;3;3;6;2;1;3;1
1;1;2;77;3;3;6;1;3;2;1
1;1;2;80;3;3;6;1;3;2;1
1;1;2;60;3;3;6;1;2;2;1
1;1;2;68;3;3;6;1;2;2;1
3;1;1;55;3;3;6;1;3;4;1
1;1;2;83;3;3;6;1;2;2;1
6;1;2;73;3;3;6;1;3;7;1
1;1;1;59;3;3;6;1;2;2;1
1;1;2;85;3;3;6;1;2;2;1
0;2;2;69;3;3;6;1;2;1;3
2;1;1;64;3;3;6;1;3;3;1
0;1;1;70;3;3;6;1;2;1;1
1;1;2;68;3;3;6;1;3;2;1
1;2;1;67;3;3;6;1;2;2;1
1;1;1;66;3;3;6;1;2;2;1
4;1;2;61;3;3;6;1;2;5;1
4;1;1;55;3;3;6;1;2;5;1
1;1;1;66;3;3;6;1;3;2;1
3;1;1;54;3;3;6;1;2;4;1
1;1;1;66;3;3;6;1;2;2;1
0;2;1;80;3;3;6;1;2;1;1
2;2;1;53;3;3;6;1;2;3;1
1;1;1;40;3;3;6;1;1;2;3
5;1;1;64;3;3;6;1;2;6;1
2;2;1;49;3;3;6;1;2;3;3
2;2;1;68;3;3;6;1;1;3;1
2;2;1;43;3;3;6;1;2;3;3
1;2;1;72;3;3;6;2;2;2;3
2;1;1;50;3;3;6;1;3;3;1
1;2;2;67;3;3;6;1;2;2;1
1;1;1;60;3;3;6;1;2;2;1
1;3;2;62;3;3;6;1;2;2;3
4;2;1;81;3;3;6;1;2;5;1
0;3;2;55;3;3;6;1;2;1;3
1;2;1;74;3;3;6;1;2;2;1
1;2;2;47;3;3;6;1;2;2;3
0;1;2;78;3;3;6;1;2;1;1
1;1;1;76;3;3;6;1;3;2;1
2;1;2;59;3;3;6;1;2;3;3
0;2;2;58;3;3;6;1;2;1;1
1;1;1;62;3;3;6;1;2;2;1
1;1;2;38;3;3;6;1;2;2;3
4;1;2;35;3;3;6;1;3;5;5
2;1;2;77;3;3;6;2;3;3;1
3;1;1;84;3;3;6;1;2;4;2
3;1;1;33;3;3;6;1;2;4;2
3;1;1;52;3;3;6;1;3;4;2
3;1;1;81;3;3;6;1;2;4;1
1;1;1;60;3;3;6;2;2;2;1
0;2;2;51;3;3;6;1;2;1;3
2;1;1;67;3;3;6;1;3;3;4
2;1;2;51;3;3;6;1;2;3;3
3;2;1;76;3;3;6;1;3;4;3
2;1;1;53;3;3;6;1;3;3;4
1;1;1;70;3;3;6;1;3;2;1
3;1;1;70;3;3;6;1;2;4;1
